TITLE,RELEASED,IMDB__RATING,IMDB__VOTES,GENRES,partition_date
The Nutcracker in 3D,2011-12-07 16:00:00-08:00,4.5,2285.0,Family,2011-12-01
Two Rabbits,2012-01-19 16:00:00-08:00,7.4,3735.0,Thriller,2012-01-01
The Monkey King,2012-01-11 16:00:00-08:00,8.3,984.0,Family,2012-01-01
The Monkey King,2012-01-11 16:00:00-08:00,8.3,984.0,Fantasy,2012-01-01
Business Man,2012-01-12 16:00:00-08:00,7.2,4915.0,Crime,2012-01-01
The Grey,2012-01-26 16:00:00-08:00,6.8,190598.0,Drama,2012-01-01
The Grey,2012-01-26 16:00:00-08:00,6.8,190598.0,Adventure,2012-01-01
Business Man,2012-01-12 16:00:00-08:00,7.2,4915.0,Comedy,2012-01-01
The Monkey King,2012-01-11 16:00:00-08:00,8.3,984.0,Animation,2012-01-01
Underworld: Awakening,2012-01-19 16:00:00-08:00,6.4,107446.0,Horror,2012-01-01
Two Rabbits,2012-01-19 16:00:00-08:00,7.4,3735.0,Action,2012-01-01
Zhauzhèrek myng bala,2012-02-29 16:00:00-08:00,6.6,473.0,Drama,2012-02-01
Justice League: Doom,2012-02-27 16:00:00-08:00,7.5,16409.0,Fantasy,2012-02-01
Safe House,2012-02-09 16:00:00-08:00,6.8,153630.0,Mystery,2012-02-01
Thale,2012-02-16 16:00:00-08:00,5.6,4322.0,Horror,2012-02-01
This Means War,2012-02-16 16:00:00-08:00,6.4,135648.0,Romance,2012-02-01
Zhauzhèrek myng bala,2012-02-29 16:00:00-08:00,6.6,473.0,Adventure,2012-02-01
This Means War,2012-02-16 16:00:00-08:00,6.4,135648.0,Comedy,2012-02-01
Act of Valor,2012-02-23 16:00:00-08:00,6.5,55066.0,Thriller,2012-02-01
Justice League: Doom,2012-02-27 16:00:00-08:00,7.5,16409.0,Animation,2012-02-01
Act of Valor,2012-02-23 16:00:00-08:00,6.5,55066.0,War,2012-02-01
Safe House,2012-02-09 16:00:00-08:00,6.8,153630.0,Crime,2012-02-01
Justice League: Doom,2012-02-27 16:00:00-08:00,7.5,16409.0,Action,2012-02-01
Wonder Women! The Untold Story of American Superheroines,2012-03-09 16:00:00-08:00,7.5,134.0,History,2012-03-01
Monster Brawl,2012-03-29 17:00:00-07:00,3.6,1867.0,Horror,2012-03-01
Brutal Relax,2012-03-29 17:00:00-07:00,6.7,363.0,Short,2012-03-01
Wonder Women! The Untold Story of American Superheroines,2012-03-09 16:00:00-08:00,7.5,134.0,Documentary,2012-03-01
21 Jump Street,2012-03-15 17:00:00-07:00,7.2,369346.0,Comedy,2012-03-01
Wonder Women! The Untold Story of American Superheroines,2012-03-09 16:00:00-08:00,7.5,134.0,Fantasy,2012-03-01
Beduin,2012-03-14 17:00:00-07:00,6.6,176.0,Drama,2012-03-01
