TITLE,RELEASED,IMDB__RATING,IMDB__VOTES,GENRES,partition_date
Slow West,2015-04-15 17:00:00-07:00,7.0,11997.0,Western,2015-04-01
Avengers: Age of Ultron,2015-04-30 17:00:00-07:00,7.8,282723.0,Sci-Fi,2015-04-01
Welcome to Happiness,2015-04-26 17:00:00-07:00,8.2,34.0,Fantasy,2015-04-01
Furious 7,2015-04-02 17:00:00-07:00,7.4,211346.0,Crime,2015-04-01
The Connection,2015-05-14 17:00:00-07:00,7.1,3206.0,Crime,2015-05-01
Ti mene nosis,2015-05-24 17:00:00-07:00,7.3,160.0,Family,2015-05-01
Tale of Tales,2015-05-13 17:00:00-07:00,6.7,1961.0,Fantasy,2015-05-01
Ti mene nosis,2015-05-24 17:00:00-07:00,7.3,160.0,Drama,2015-05-01
Mad Max: Fury Road,2015-05-14 17:00:00-07:00,8.3,314071.0,Adventure,2015-05-01
Tale of Tales,2015-05-13 17:00:00-07:00,6.7,1961.0,Romance,2015-05-01
Mad Max: Fury Road,2015-05-14 17:00:00-07:00,8.3,314071.0,Sci-Fi,2015-05-01
The Connection,2015-05-14 17:00:00-07:00,7.1,3206.0,Thriller,2015-05-01
Kung Fury,2015-05-27 17:00:00-07:00,8.3,24575.0,Comedy,2015-05-01
Kung Fury,2015-05-27 17:00:00-07:00,8.3,24575.0,Short,2015-05-01
Mad Max: Fury Road,2015-05-14 17:00:00-07:00,8.3,314071.0,Action,2015-05-01
Jurassic World,2015-06-11 17:00:00-07:00,7.3,252556.0,Action,2015-06-01
Patch Town,2015-06-04 17:00:00-07:00,5.4,244.0,Fantasy,2015-06-01
Jurassic World,2015-06-11 17:00:00-07:00,7.3,252556.0,Adventure,2015-06-01
Spy,2015-06-04 17:00:00-07:00,7.3,64198.0,Crime,2015-06-01
Spy,2015-06-04 17:00:00-07:00,7.3,64198.0,Comedy,2015-06-01
Jurassic World,2015-06-11 17:00:00-07:00,7.3,252556.0,Sci-Fi,2015-06-01
Pixels,2015-07-23 17:00:00-07:00,5.5,17633.0,Comedy,2015-07-01
Awaken,2015-07-06 17:00:00-07:00,3.1,430.0,Horror,2015-07-01
Cartel Land,2015-07-02 17:00:00-07:00,7.5,429.0,Drama,2015-07-01
Jack Strong,2015-07-23 17:00:00-07:00,7.2,2124.0,Crime,2015-07-01
The Boy and the Beast,2015-07-10 17:00:00-07:00,7.4,92.0,Animation,2015-07-01
Awaken,2015-07-06 17:00:00-07:00,3.1,430.0,Thriller,2015-07-01
Ant-Man,2015-07-16 17:00:00-07:00,7.8,111807.0,Adventure,2015-07-01
Ant-Man,2015-07-16 17:00:00-07:00,7.8,111807.0,Action,2015-07-01
Ant-Man,2015-07-16 17:00:00-07:00,7.8,111807.0,Sci-Fi,2015-07-01
Jack Strong,2015-07-23 17:00:00-07:00,7.2,2124.0,Biography,2015-07-01
Cartel Land,2015-07-02 17:00:00-07:00,7.5,429.0,Documentary,2015-07-01
Meru,2015-08-13 17:00:00-07:00,8.3,263.0,Documentary,2015-08-01
Fantastic Four,2015-08-06 17:00:00-07:00,4.0,42420.0,Sci-Fi,2015-08-01
One and Two,2015-08-13 17:00:00-07:00,5.5,261.0,Fantasy,2015-08-01
Meru,2015-08-13 17:00:00-07:00,8.3,263.0,Action,2015-08-01
One and Two,2015-08-13 17:00:00-07:00,5.5,261.0,Thriller,2015-08-01
The Assassin,2015-08-26 17:00:00-07:00,7.0,299.0,Drama,2015-08-01
Meru,2015-08-13 17:00:00-07:00,8.3,263.0,Adventure,2015-08-01
Journey to the Shore,2015-09-30 17:00:00-07:00,5.2,63.0,Romance,2015-09-01
Dragon Blade,2015-09-03 17:00:00-07:00,6.3,5948.0,Action,2015-09-01
Dragon Blade,2015-09-03 17:00:00-07:00,6.3,5948.0,Adventure,2015-09-01
Dragon Blade,2015-09-03 17:00:00-07:00,6.3,5948.0,Drama,2015-09-01
Journey to the Shore,2015-09-30 17:00:00-07:00,5.2,63.0,Fantasy,2015-09-01
War Pigs,2015-09-17 17:00:00-07:00,4.1,636.0,War,2015-09-01
Crumbs,2015-10-22 17:00:00-07:00,6.1,81.0,Fantasy,2015-10-01
Sicario,2015-10-01 17:00:00-07:00,7.9,1689.0,Action,2015-10-01
Crumbs,2015-10-22 17:00:00-07:00,6.1,81.0,Adventure,2015-10-01
Sicario,2015-10-01 17:00:00-07:00,7.9,1689.0,Crime,2015-10-01
Sicario,2015-10-01 17:00:00-07:00,7.9,1689.0,Drama,2015-10-01
Crumbs,2015-10-22 17:00:00-07:00,6.1,81.0,Mystery,2015-10-01
Landmine Goes Click,2015-11-19 16:00:00-08:00,7.6,289.0,Action,2015-11-01
Landmine Goes Click,2015-11-19 16:00:00-08:00,7.6,289.0,Crime,2015-11-01
Landmine Goes Click,2015-11-19 16:00:00-08:00,7.6,289.0,Drama,2015-11-01
